"Host","Log Name","Date Time","Time Zone","Method","URL","Response Code","Bytes Sent","Referer","User Agent"
"46.172.71.251","-","2015-09-13 06:31:38","GMT-0700","GET","/rom-0",404,486,"-","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
"104.197.33.217","-","2015-09-13 07:14:54","GMT-0700","GET","/",200,600,"-","NerdyBot"
"5.39.94.63","-","2015-09-13 07:30:16","GMT-0700","GET","/",200,543,"-","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
"5.39.94.63","-","2015-09-13 07:30:17","GMT-0700","GET","/",200,543,"-","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0"
"130.211.186.192","-","2015-09-13 08:06:39","GMT-0700","GET","/",200,600,"-","NerdyBot"
"151.80.31.143","-","2015-09-13 08:40:08","GMT-0700","GET","/robots.txt",200,366,"-","Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
"162.210.196.129","-","2015-09-13 10:50:58","GMT-0700","GET","/robots.txt",200,358,"-","Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
"198.27.64.33","-","2015-09-13 11:22:40","GMT-0700","GET","/robots.txt",200,358,"-","Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
"216.107.155.114","-","2015-09-13 11:36:25","GMT-0700","GET","/robots.txt",200,358,"-","Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
"178.63.72.77","-","2015-09-13 12:22:28","GMT-0700","GET","/",200,543,"spinster.org","Mozilla/5.0 (Windows NT 6.2; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1"
"198.27.64.33","-","2015-09-13 12:35:09","GMT-0700","GET","/robots.txt",200,358,"-","Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
"109.173.214.164","-","2015-09-13 12:39:47","GMT-0700","GET","/photos/black_fleet/YodaClaus.jpg",404,523,"http://force-crusaders.org/zakon/index.php","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
"106.120.173.111","-","2015-09-13 13:10:13","GMT-0700","GET","/robots.txt",200,358,"-","Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
"106.120.173.111","-","2015-09-13 13:10:18","GMT-0700","GET","/robots.txt",200,358,"-","Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
"178.255.215.92","-","2015-09-13 14:23:12","GMT-0700","GET","/robots.txt",200,385,"-","Mozilla/5.0 (compatible; Exabot/3.0; +http://www.exabot.com/go/robot)"
"82.146.49.145","-","2015-09-13 14:32:38","GMT-0700","GET","/",200,562,"http://vkoneb.com/","Mozilla/4.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/5.0)"
"207.46.13.78","-","2015-09-13 14:35:04","GMT-0700","GET","/robots.txt",200,396,"-","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
"66.249.69.127","-","2015-09-13 16:57:04","GMT-0700","GET","/robots.txt",200,423,"-","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
"78.47.155.198","-","2015-09-13 17:00:12","GMT-0700","GET","/",200,543,"-","Mozilla/5.0 (compatible; Digincore bot; https://www.digincore.com/crawler.html for rules and instructions."
"66.249.69.30","-","2015-09-13 17:05:26","GMT-0700","GET","/robots.txt",200,423,"-","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
"148.251.52.173","-","2015-09-13 18:25:47","GMT-0700","GET","/photos/black_fleet/wookie.jpg",404,493,"-","-"
"66.249.75.75","-","2015-09-13 18:41:10","GMT-0700","GET","/robots.txt",200,423,"-","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
"54.166.197.198","-","2015-09-13 19:30:30","GMT-0700","HEAD","/",200,260,"-","Cloud mapping experiment. Contact research@pdrlabs.net"
"142.54.165.138","-","2015-09-13 20:02:36","GMT-0700","GET","/",200,543,"-","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
"62.210.90.118","-","2015-09-13 20:05:30","GMT-0700","GET","/robots.txt",200,358,"-","Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
"157.55.39.176","-","2015-09-13 20:56:24","GMT-0700","GET","/robots.txt",200,396,"-","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
"198.27.82.147","-","2015-09-13 22:01:25","GMT-0700","GET","/robots.txt",200,358,"-","Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
"45.32.244.164","-","2015-09-14 01:04:16","GMT-0700","GET","/",200,562,"-","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.107 Safari/537.36"
"207.46.13.78","-","2015-09-14 02:49:37","GMT-0700","GET","/robots.txt",200,396,"-","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
"95.215.9.222","-","2015-09-14 02:58:51","GMT-0700","GET","/",200,562,"-","netscan.lekus.su"
"123.30.175.209","-","2015-09-14 03:16:23","GMT-0700","GET","/robots.txt",200,385,"-","Mozilla/5.0 (compatible; coccoc/1.0; +http://help.coccoc.com/)"
"123.30.175.210","-","2015-09-14 03:16:58","GMT-0700","GET","/robots.txt",200,385,"-","Mozilla/5.0 (compatible; coccoc/1.0; +http://help.coccoc.com/)"
"180.153.206.22","-","2015-09-14 03:38:57","GMT-0700","GET","/",200,562,"-","Mozilla/5.0 (Linux; U; Android 4.4.2; zh-cn; GT-I9500 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko)Version/4.0 MQQBrowser/5.0 QQ-Manager Mobile Safari/537.36"
"66.249.75.4","-","2015-09-14 04:49:05","GMT-0700","GET","/robots.txt",200,423,"-","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
"114.221.62.248","-","2015-09-14 04:56:45","GMT-0700","GET","/ramble/index.php?blogId=99",404,507,"-","Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1;)"
"106.120.173.111","-","2015-09-14 05:04:17","GMT-0700","GET","/ramble/index.php?blogId=45",404,469,"-","Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
"106.120.173.111","-","2015-09-14 05:04:30","GMT-0700","GET","/ramble/index.php?blogId=42",404,469,"-","Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)"
"93.63.195.10","-","2015-09-14 06:40:36","GMT-0700","GET","/robots.txt",200,358,"-","Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
"54.205.24.58","-","2015-09-14 07:07:46","GMT-0700","GET","/robots.txt",200,366,"-","Googlebot (gocrawl v0.4)"
"130.211.150.95","-","2015-09-14 07:13:36","GMT-0700","GET","/",200,600,"-","NerdyBot"
"101.226.167.224","-","2015-09-14 07:18:33","GMT-0700","GET","/robots.txt",200,423,"http://spinster.org/robots.txt","Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1; 360Spider(compatible; HaosouSpider; http://www.haosou.com/help/help_3_2.html)"
"108.61.189.96","-","2015-09-14 07:25:01","GMT-0700","GET","/",200,565,"-","Mozilla/4.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/5.0)"
"208.115.113.82","-","2015-09-14 07:49:50","GMT-0700","GET","/robots.txt",200,365,"-","Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
"104.197.126.25","-","2015-09-14 08:05:29","GMT-0700","GET","/",200,600,"-","NerdyBot"
"46.4.123.172","-","2015-09-14 08:27:08","GMT-0700","GET","/robots.txt",200,358,"-","Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
"46.4.123.172","-","2015-09-14 08:27:12","GMT-0700","GET","/robots.txt",200,358,"-","Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)"
"208.115.113.82","-","2015-09-14 08:29:16","GMT-0700","GET","/ramble/index.php?blogId=40",404,476,"-","Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
