"Host","Log Name","Date Time","Time Zone","Method","URL","Response Code","Bytes Sent","Referer","User Agent"
"127.0.0.1","-","2018-03-04 06:52:56","GMT-0800","OPTIONS","*",200,152,"-","Apache/2.2.16 (Ubuntu) (internal dummy connection)"
"123.206.13.220","-","2018-03-04 07:05:08","GMT-0800","GET","/verifylogin.do",404,533,"-","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)"
"141.212.122.64","-","2018-03-04 07:28:18","GMT-0800","GET","/x",400,514,"-","Telesphoreo"
"18.194.44.67","-","2018-03-04 07:46:39","GMT-0800","HEAD","/wp-admin/",404,207,"-","python-requests/1.2.3 CPython/2.7.12 Linux/4.9.76-3.78.amzn1.x86_64"
"18.194.44.67","-","2018-03-04 07:46:40","GMT-0800","HEAD","/license.txt",404,207,"-","python-requests/1.2.3 CPython/2.7.12 Linux/4.9.76-3.78.amzn1.x86_64"
"18.194.44.67","-","2018-03-04 07:46:41","GMT-0800","HEAD","/",200,284,"-","python-requests/1.2.3 CPython/2.7.12 Linux/4.9.76-3.78.amzn1.x86_64"
"18.194.44.67","-","2018-03-04 07:46:42","GMT-0800","GET","/",200,508,"-","python-requests/1.2.3 CPython/2.7.12 Linux/4.9.76-3.78.amzn1.x86_64"
"18.194.44.67","-","2018-03-04 07:46:42","GMT-0800","HEAD","/",200,284,"-","python-requests/1.2.3 CPython/2.7.12 Linux/4.9.76-3.78.amzn1.x86_64"
"212.83.163.210","-","2018-03-04 08:52:29","GMT-0800","GET","/ramble/index.php?blogId=12",404,507,"-","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
"212.83.163.211","-","2018-03-04 08:52:30","GMT-0800","GET","/ramble/index.php?blogId=12",404,507,"-","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
"212.83.163.212","-","2018-03-04 08:52:33","GMT-0800","GET","/ramble/index.php?blogId=12",404,507,"-","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
"212.83.163.210","-","2018-03-04 08:52:34","GMT-0800","GET","/ramble/index.php?blogId=12",404,507,"-","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36"
"216.244.66.229","-","2018-03-04 09:05:14","GMT-0800","GET","/robots.txt",200,365,"-","Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
"216.244.66.229","-","2018-03-04 09:16:46","GMT-0800","GET","/ramble/index.php?blogId=40",404,476,"-","Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
"217.69.136.203","-","2018-03-04 09:48:28","GMT-0800","GET","/robots.txt",200,358,"-","Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
"54.67.59.131","-","2018-03-04 10:41:43","GMT-0800","GET","/",200,508,"-","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
"216.244.66.229","-","2018-03-04 10:57:20","GMT-0800","GET","/robots.txt",200,365,"-","Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
"216.244.66.229","-","2018-03-04 11:07:49","GMT-0800","GET","/ramble/index.php?blogId=55",404,476,"-","Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
"178.73.215.171","-","2018-03-04 11:42:25","GMT-0800","GET","/",200,562,"-","-"
"46.6.59.158","-","2018-03-04 12:39:22","GMT-0800","GET","/xmlrpc.php",404,472,"-","Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.1.6) Gecko/20070725 Firefox/2.0.0.6"
"34.217.191.135","-","2018-03-04 13:49:56","GMT-0800","GET","/",200,527,"-","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko"
"34.224.15.71","-","2018-03-04 14:14:16","GMT-0800","GET","/robots.txt",200,423,"-","BUbiNG (+http://law.di.unimi.it/BUbiNG.html#wc)"
"217.69.136.204","-","2018-03-04 14:59:36","GMT-0800","GET","/robots.txt",200,358,"-","Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
"139.162.119.197","-","2018-03-04 15:36:16","GMT-0800","GET","/",200,562,"-","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36"
"159.65.254.239","-","2018-03-04 15:37:28","GMT-0800","HEAD","/icons/apache_pb.gif",200,283,"-","Mozilla/5.0 (compatible; NetcraftSurveyAgent/1.0; +info@netcraft.com)"
"178.93.50.38","-","2018-03-04 15:54:00","GMT-0800","GET","/",200,600,"-","-"
"217.182.192.80","-","2018-03-04 16:13:17","GMT-0800","GET","/robots.txt",200,423,"-","Barkrowler/0.7 (+http://www.exensa.com/crawl)"
"217.182.192.80","-","2018-03-04 19:47:29","GMT-0800","GET","/robots.txt",200,423,"-","Barkrowler/0.7 (+http://www.exensa.com/crawl)"
"217.69.136.206","-","2018-03-04 20:14:04","GMT-0800","GET","/robots.txt",200,358,"-","Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
"23.237.4.26","-","2018-03-04 20:20:27","GMT-0800","GET","/",200,600,"-","Mozilla/5.0 (compatible; AlphaBot/3.2; +http://alphaseobot.com/bot.html)"
"217.182.192.80","-","2018-03-04 21:34:46","GMT-0800","GET","/robots.txt",200,423,"-","Barkrowler/0.7 (+http://www.exensa.com/crawl)"
"217.69.136.203","-","2018-03-04 22:03:40","GMT-0800","GET","/robots.txt",200,358,"-","Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)"
"217.182.192.80","-","2018-03-05 00:08:20","GMT-0800","GET","/robots.txt",200,423,"-","Barkrowler/0.7 (+http://www.exensa.com/crawl)"
